Year,Month,Day,AirportID,Time,TimeZone,SkyCondition,Visibility,WeatherType,DryBulbFarenheit,DryBulbCelsius,WetBulbFarenheit,WetBulbCelsius,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection,ValueForWindCharacter,StationPressure,PressureTendency,PressureChange,SeaLevelPressure,RecordType,HourlyPrecip,Altimeter
2013,7,1,14843,1756,-4,FEW055 BKN100,9,,83,28.3,77,24.8,74,23.3,74,10,90,,30.04,,,30.04,AA,,30.05
2013,7,1,14843,1856,-4,FEW038 SCT075 BKN100,9,,82,27.8,76,24.3,73,22.8,74,9,90,,30.05,,,30.05,AA,,30.06
2013,7,1,14843,1956,-4,FEW055,10,,81,27.2,75,24.1,73,22.8,77,8,110,,30.06,,,30.07,AA,,30.07
2013,7,1,14843,2056,-4,FEW045 SCT065,10,,81,27.2,75,24.1,73,22.8,77,5,100,,30.07,,,30.08,AA,,30.08
2013,7,1,14843,2156,-4,FEW025 SCT055,10,,80,26.7,75,23.9,73,22.8,79,5,110,,30.09,,,30.09,AA,,30.1
2013,7,1,14843,2256,-4,FEW025 SCT055,10,,80,26.7,76,24.3,74,23.3,82,0,0,,30.09,,,30.1,AA,,30.1
2013,7,1,14843,2356,-4,FEW025 SCT060,10,,79,26.1,76,24.1,74,23.3,85,0,0,,30.08,,,30.09,AA,,30.09
2013,7,2,14843,56,-4,FEW022 BKN070,10,,79,26.1,76,24.1,74,23.3,85,0,0,,30.06,,,30.07,AA,,30.07
2013,7,2,14843,156,-4,FEW040,10,,79,26.1,75,23.8,73,22.8,82,0,0,,30.05,,,30.06,AA,,30.06
2013,7,2,14843,256,-4,FEW040,10,=-RA,78,25.6,75,23.6,73,22.8,85,3,120,,30.04,,,30.05,AA,T,30.05
2013,7,2,14843,356,-4,FEW022 SCT040,10,,78,25.6,75,24,74,23.3,88,5,80,,30.04,,,30.05,AA,T,30.05
2013,7,2,14843,456,-4,FEW018 SCT037,10,,79,26.1,76,24.1,74,23.3,85,6,100,,30.06,,,30.06,AA,,30.07
2013,7,2,14843,556,-4,SCT022 SCT060,10,#NAME?,79,26.1,76,24.1,74,23.3,85,10,70,,30.08,,,30.08,AA,T,30.09
2013,7,2,14843,656,-4,FEW022 SCT038 BKN070,10,#NAME?,78,25.6,74,23.2,72,22.2,82,7,110,,30.1,,,30.1,AA,0.02,30.11
2013,7,2,14843,748,-4,SCT017 SCT033 BKN100,2,#NAME?,75,24,73,22.7,72,22,90,9,140,20,30.11,,,M,SP,,30.12
2013,7,2,14843,956,-4,FEW025 SCT043 BKN070,10,#NAME?,79,26.1,76,24.1,74,23.3,85,8,140,,30.12,,,30.13,AA,0.04,30.13
2013,7,2,14843,1056,-4,FEW028 SCT060 BKN090,10,,82,27.8,77,25,75,23.9,79,10,70,,30.11,,,30.12,AA,0.06,30.12
2013,7,2,14843,1156,-4,FEW025 SCT060 BKN090,10,,84,28.9,77,25,74,23.3,72,16,70,22,30.1,,,30.11,AA,T,30.11
2013,7,2,14843,1256,-4,FEW030 SCT060 BKN110,10,,85,29.4,77,24.7,73,22.8,67,18,80,24,30.08,,,30.09,AA,,30.09
2013,7,2,14843,1356,-4,FEW025 SCT030 BKN090,10,,85,29.4,77,24.7,73,22.8,67,20,80,25,30.06,,,30.06,AA,,30.07
2013,7,2,14843,1456,-4,SCT025 BKN065,10,,83,28.3,75,24.1,72,22.2,70,20,70,24,30.04,,,30.05,AA,,30.05
2013,7,2,14843,1556,-4,FEW023 SCT075 BKN090,10,,84,28.9,76,24.6,73,22.8,70,17,70,23,30.03,,,30.04,AA,T,30.04
2013,7,2,14843,1656,-4,FEW032 SCT075 BKN120,10,,82,27.8,75,23.6,71,21.7,69,13,80,20,30.03,,,30.04,AA,T,30.04
2013,7,2,14843,1756,-4,FEW032 SCT047 BKN120,10,,81,27.2,74,23,70,21.1,69,10,80,,30.04,,,30.04,AA,,30.05
2013,7,2,14843,1856,-4,FEW024 SCT035 SCT085,10,,79,26.1,74,23.4,72,22.2,79,10,80,,30.04,,,30.05,AA,T,30.05
2013,7,2,14843,1956,-4,FEW035 SCT065,10,,79,26.1,74,23.4,72,22.2,79,8,90,,30.06,,,30.06,AA,,30.07
2013,7,2,14843,2056,-4,FEW027 SCT035 SCT050,10,#NAME?,78,25.6,75,23.6,73,22.8,85,6,80,,30.07,,,30.08,AA,T,30.08
2013,7,2,14843,2156,-4,FEW035 SCT060,10,,76,24.4,73,22.5,71,21.7,85,5,100,,30.06,,,30.07,AA,0.12,30.07
2013,7,2,14843,2256,-4,FEW022 SCT040,10,,78,25.6,74,23.2,72,22.2,82,5,110,,30.06,,,30.07,AA,,30.07
2013,7,2,14843,2356,-4,FEW032,10,,78,25.6,75,23.6,73,22.8,85,8,90,,30.06,,,30.06,AA,,30.07
2013,7,3,14843,56,-4,FEW032,10,,78,25.6,74,23.2,72,22.2,82,13,80,,30.03,,,30.04,AA,,30.04
2013,7,3,14843,156,-4,FEW024,10,,79,26.1,74,23.4,72,22.2,79,10,80,,30.03,,,30.03,AA,,30.04
2013,7,3,14843,256,-4,BKN012 OVC028,4,#NAME?,75,23.9,72,22.4,71,21.7,87,15,100,24,30.03,,,30.04,AA,0.04,30.04
2013,7,3,14843,356,-4,FEW022 SCT060,10,,75,23.9,72,22.4,71,21.7,87,7,100,,30.02,,,30.03,AA,0.02,30.03
2013,7,3,14843,456,-4,FEW022 SCT060,10,,75,23.9,72,22.4,71,21.7,87,0,0,,30.02,,,30.03,AA,,30.03
2013,7,3,14843,556,-4,FEW018 SCT070,10,,76,24.4,73,22.9,72,22.2,87,3,VR,,30.03,,,30.04,AA,,30.04
2013,7,3,14843,656,-4,SCT026 SCT032 BKN050,10,,78,25.6,74,23.2,72,22.2,82,5,140,,30.05,,,30.06,AA,,30.06
2013,7,3,14843,756,-4,FEW020 SCT026 BKN050,4,RA,77,25,74,23.1,72,22.2,85,13,110,18,30.06,,,30.07,AA,0.05,30.07
2013,7,3,14843,856,-4,FEW026 SCT046 BKN075,10,,78,25.6,75,23.6,73,22.8,85,5,120,,30.08,,,30.09,AA,0.03,30.09
2013,7,3,14843,956,-4,FEW016 SCT038 BKN110,10,,81,27.2,75,23.8,72,22.2,74,16,70,,30.09,,,30.1,AA,,30.1
2013,7,3,14843,1056,-4,FEW023 SCT032 BKN055,10,,82,27.8,76,24.3,73,22.8,74,20,70,26,30.09,,,30.09,AA,T,30.1
2013,7,3,14843,1156,-4,SCT028 SCT035 BKN085,10,,85,29.4,76,24.4,72,22.2,65,17,50,22,30.08,,,30.09,AA,,30.09
2013,7,3,14843,1256,-4,SCT022 SCT032 BKN085,10,,85,29.4,77,25.1,74,23.3,70,16,80,24,30.06,,,30.07,AA,,30.07
2013,7,3,14843,1356,-4,SCT022 SCT030 BKN085,10,,86,30,78,25.3,74,23.3,68,16,60,,30.05,,,30.05,AA,,30.06
2013,7,3,14843,1456,-4,SCT018 SCT030 SCT085,10,,85,29.4,77,25.1,74,23.3,70,16,50,,30.03,,,30.03,AA,,30.04
2013,7,3,14843,1556,-4,SCT030 SCT090,10,,85,29.4,77,25.1,74,23.3,70,17,70,23,30.01,,,30.02,AA,,30.02
2013,7,3,14843,1656,-4,FEW016 SCT025 SCT033,10,,84,28.9,78,25.3,75,23.9,74,14,70,,30.01,,,30.02,AA,,30.02
2013,7,3,14843,1756,-4,FEW023 SCT040 SCT060,10,,82,27.8,76,24.6,74,23.3,77,9,60,,30.01,,,30.02,AA,,30.02
2013,7,3,14843,1856,-4,FEW019 SCT038 SCT048,10,,80,26.7,77,25.1,76,24.4,88,11,80,,30.02,,,30.03,AA,0.05,30.03
2013,7,3,14843,1956,-4,FEW019 SCT028 SCT048,10,,80,26.7,77,24.7,75,23.9,85,9,90,,30.04,,,30.04,AA,,30.05
2013,7,3,14843,2056,-4,FEW019 SCT028 SCT048,10,,80,26.7,77,24.7,75,23.9,85,11,80,,30.05,,,30.06,AA,,30.06
2013,7,3,14843,2156,-4,FEW019 SCT037 SCT065,10,,80,26.7,77,25.1,76,24.4,88,10,80,,30.07,,,30.07,AA,T,30.08
2013,7,3,14843,2256,-4,FEW016 SCT026 BKN070,10,,80,26.7,77,24.7,75,23.9,85,11,70,,30.07,,,30.08,AA,,30.08
2013,7,3,14843,2356,-4,FEW031 SCT100,10,,80,26.7,76,24.3,74,23.3,82,9,80,,30.07,,,30.07,AA,,30.08
2013,7,4,14843,56,-4,FEW017 SCT026,10,,80,26.7,76,24.3,74,23.3,82,14,80,,30.05,,,30.05,AA,,30.06
2013,7,4,14843,156,-4,FEW020 SCT026,10,,80,26.7,77,24.7,75,23.9,85,8,80,,30.03,,,30.03,AA,,30.04
2013,7,4,14843,256,-4,FEW018 SCT026,10,,80,26.7,77,24.7,75,23.9,85,9,80,,30.01,,,30.02,AA,,30.02
2013,7,4,14843,356,-4,FEW018 SCT029 SCT055,10,,79,26.1,76,24.5,75,23.9,88,9,80,,30.02,,,30.02,AA,T,30.03
2013,7,4,14843,456,-4,FEW014 SCT032 SCT070,10,,78,25.6,75,24,74,23.3,88,8,80,,30.02,,,30.03,AA,T,30.03
2013,7,4,14843,556,-4,FEW017 SCT022 BKN034,9,#NAME?,79,26.1,76,24.1,74,23.3,85,9,100,,30.04,,,30.04,AA,0.02,30.05
2013,7,4,14843,656,-4,FEW020 SCT026 BKN034,9,,80,26.7,77,24.7,75,23.9,85,6,110,,30.06,,,30.06,AA,0.02,30.07
2013,7,4,14843,756,-4,FEW017 SCT026 SCT065,9,,82,27.8,78,25.4,76,24.4,82,13,80,,30.07,,,30.07,AA,T,30.08
2013,7,4,14843,856,-4,FEW019 SCT024 SCT042,9,,84,28.9,78,25.7,76,24.4,77,15,70,21,30.07,,,30.08,AA,,30.08
2013,7,4,14843,956,-4,FEW019 SCT024 SCT042,9,,85,29.4,78,25.5,75,23.9,72,17,70,23,30.08,,,30.09,AA,,30.09
2013,7,4,14843,1056,-4,FEW024 SCT033 SCT075,9,,87,30.6,78,25.8,75,23.9,68,17,70,,30.08,,,30.09,AA,,30.09
2013,7,4,14843,1156,-4,FEW026 SCT035,9,,88,31.1,79,25.9,75,23.9,65,17,70,26,30.07,,,30.08,AA,,30.08
2013,7,4,14843,1256,-4,FEW016 SCT023 SCT028,9,,88,31.1,79,25.9,75,23.9,65,18,60,,30.07,,,30.07,AA,,30.08
2013,7,4,14843,1356,-4,FEW018 SCT027 SCT065,9,,88,31.1,79,26.3,76,24.4,68,18,70,24,30.04,,,30.05,AA,,30.05
2013,7,4,14843,1456,-4,SCT022,9,,88,31.1,79,26.3,76,24.4,68,21,70,26,30.03,,,30.03,AA,,30.04
2013,7,4,14843,1556,-4,FEW025 SCT030,9,,86,30,78,25.6,75,23.9,70,21,60,29,30.01,,,30.02,AA,,30.02
2013,7,4,14843,1656,-4,FEW021 SCT030,9,,85,29.4,78,25.5,75,23.9,72,15,80,22,30.01,,,30.01,AA,,30.02
2013,7,4,14843,1756,-4,FEW021 SCT027 SCT042,9,,84,28.9,78,25.3,75,23.9,74,18,70,,30.01,,,30.02,AA,,30.02
2013,7,4,14843,1856,-4,SCT033,9,,82,27.8,76,24.6,74,23.3,77,14,80,,30.02,,,30.02,AA,,30.03
2013,7,4,14843,1956,-4,FEW018 SCT033,9,,82,27.8,77,25,75,23.9,79,10,80,,30.03,,,30.04,AA,,30.04
2013,7,4,14843,2056,-4,FEW020 SCT031,9,,81,27.2,77,24.8,75,23.9,82,11,90,,30.06,,,30.06,AA,,30.07
2013,7,4,14843,2156,-4,FEW017 SCT031,10,,81,27.2,77,24.8,75,23.9,82,9,80,,30.07,,,30.08,AA,,30.08
2013,7,4,14843,2256,-4,FEW017 SCT029,10,,81,27.2,77,24.8,75,23.9,82,8,80,,30.08,,,30.08,AA,,30.09
2013,7,4,14843,2356,-4,SCT033,10,,81,27.2,76,24.5,74,23.3,79,9,90,,30.07,,,30.07,AA,,30.08
2013,7,5,14843,56,-4,FEW023 SCT035 SCT043,10,,81,27.2,76,24.5,74,23.3,79,13,80,,30.05,,,30.06,AA,,30.06
2013,7,5,14843,156,-4,FEW023 SCT032,10,,81,27.2,75,24.1,73,22.8,77,13,90,,30.04,,,30.04,AA,,30.05
2013,7,5,14843,256,-4,SCT025,10,,80,26.7,75,23.6,72,22.2,77,9,100,,30.03,,,30.04,AA,,30.04
2013,7,5,14843,356,-4,SCT028,10,,80,26.7,75,23.6,72,22.2,77,8,100,,30.04,,,30.04,AA,,30.05
2013,7,5,14843,456,-4,SCT028,10,,79,26.1,74,23.1,71,21.7,77,5,110,,30.04,,,30.05,AA,,30.05
2013,7,5,14843,556,-4,FEW026,9,,79,26.1,74,23.4,72,22.2,79,5,110,,30.05,,,30.06,AA,,30.06
2013,7,5,14843,656,-4,FEW028 SCT034,9,,80,26.7,75,23.6,72,22.2,77,3,120,,30.07,,,30.08,AA,,30.08
2013,7,5,14843,756,-4,FEW028 SCT034,8,,82,27.8,75,23.9,72,22.2,72,9,80,,30.07,,,30.07,AA,,30.08
2013,7,5,14843,856,-4,FEW025 SCT034,8,,84,28.9,76,24.6,73,22.8,70,14,80,,30.07,,,30.07,AA,,30.08
2013,7,5,14843,956,-4,FEW027 SCT035,8,,84,28.9,76,24.2,72,22.2,67,13,80,21,30.07,,,30.07,AA,,30.08
2013,7,5,14843,1056,-4,FEW021 SCT027 SCT042,8,,86,30,76,24.6,72,22.2,63,13,60,,30.06,,,30.07,AA,,30.07
2013,7,5,14843,1156,-4,FEW018 SCT023 SCT040,8,,87,30.6,77,24.7,72,22.2,61,13,50,,30.06,,,30.07,AA,,30.07
2013,7,5,14843,1256,-4,FEW015 SCT023 SCT034,8,,88,31.1,77,25.2,73,22.8,61,17,60,,30.04,,,30.05,AA,,30.05
2013,7,5,14843,1356,-4,FEW015 SCT023,9,,88,31.1,77,25.2,73,22.8,61,17,50,23,30.04,,,30.04,AA,,30.05
2013,7,5,14843,1456,-4,FEW017 SCT023,9,,87,30.6,77,25.1,73,22.8,63,17,70,25,30.02,,,30.03,AA,,30.03
2013,7,5,14843,1556,-4,SCT021,9,,87,30.6,78,25.4,74,23.3,65,14,70,24,30.01,,,30.02,AA,,30.02
2013,7,5,14843,1656,-4,SCT026,10,,85,29.4,77,24.7,73,22.8,67,17,60,23,30.01,,,30.01,AA,,30.02
2013,7,5,14843,1756,-4,SCT024,10,,83,28.3,76,24.4,73,22.8,72,16,60,,30.01,,,30.01,AA,,30.02
2013,7,5,14843,1856,-4,SCT022 SCT030,10,,82,27.8,76,24.3,73,22.8,74,14,70,,30.01,,,30.02,AA,,30.02
2013,7,5,14843,1956,-4,FEW022 SCT030,10,,82,27.8,76,24.3,73,22.8,74,13,70,,30.02,,,30.03,AA,,30.03
2013,7,5,14843,2056,-4,FEW022 SCT030,10,,82,27.8,76,24.3,73,22.8,74,14,60,,30.03,,,30.03,AA,,30.04
2013,7,5,14843,2156,-4,FEW022 SCT030,10,,81,27.2,75,24.1,73,22.8,77,14,70,,30.03,,,30.03,AA,,30.04
2013,7,5,14843,2256,-4,FEW022 SCT030,10,,81,27.2,75,24.1,73,22.8,77,15,70,,30.03,,,30.04,AA,,30.04
2013,7,5,14843,2356,-4,FEW022 SCT030,10,,81,27.2,75,24.1,73,22.8,77,10,80,,30.02,,,30.03,AA,,30.03
2013,7,6,14843,56,-4,SCT032 SCT090,10,,81,27.2,75,23.7,72,22.2,74,13,70,,30,,,30.01,AA,,30.01
2013,7,6,14843,156,-4,SCT030,10,,80,26.7,75,23.6,72,22.2,77,13,80,,29.99,,,29.99,AA,,30
2013,7,6,14843,256,-4,SCT032,10,,80,26.7,75,23.6,72,22.2,77,13,80,,29.98,,,29.98,AA,,29.99
2013,7,6,14843,356,-4,SCT027,10,,81,27.2,75,23.7,72,22.2,74,10,70,,29.98,,,29.98,AA,,29.99
2013,7,6,14843,456,-4,SCT027,10,,80,26.7,75,23.6,72,22.2,77,10,70,,29.98,,,29.98,AA,,29.99
2013,7,6,14843,556,-4,SCT030 SCT055,9,,80,26.7,75,23.6,72,22.2,77,10,70,,29.99,,,30,AA,,30
2013,7,6,14843,656,-4,FEW024 SCT030,9,,81,27.2,75,23.7,72,22.2,74,13,80,,30.01,,,30.01,AA,,30.02
2013,7,6,14843,756,-4,FEW023 SCT030,9,,82,27.8,75,23.6,71,21.7,69,13,70,,30.02,,,30.03,AA,,30.03
2013,7,6,14843,856,-4,FEW023 BKN034,9,#NAME?,82,27.8,75,23.9,72,22.2,72,14,70,,30.03,,,30.04,AA,T,30.04
2013,7,6,14843,956,-4,FEW021 BKN036,9,,86,30,76,24.6,72,22.2,63,16,60,24,30.03,,,30.04,AA,T,30.04
2013,7,6,14843,1056,-4,FEW019 SCT038,10,,88,31.1,77,24.9,72,22.2,59,15,80,22,30.03,,,30.03,AA,,30.04
2013,7,6,14843,1156,-4,FEW017 SCT038,10,,87,30.6,77,24.7,72,22.2,61,18,70,24,30.02,,,30.03,AA,,30.03
2013,7,6,14843,1256,-4,FEW017 SCT037,10,,88,31.1,77,24.9,72,22.2,59,20,60,24,30,,,30.01,AA,,30.01
2013,7,6,14843,1356,-4,FEW021 BKN037,10,,88,31.1,77,25.2,73,22.8,61,16,50,24,29.98,,,29.99,AA,,29.99
2013,7,6,14843,1456,-4,FEW017 BKN035,10,,85,29.4,77,24.7,73,22.8,67,16,60,,29.97,,,29.98,AA,T,29.98
2013,7,6,14843,1556,-4,SCT017 BKN040,8,#NAME?,82,27.8,76,24.6,74,23.3,77,10,70,,29.96,,,29.97,AA,T,29.97
2013,7,6,14843,1656,-4,SCT022 BKN040,9,#NAME?,83,28.3,76,24.4,73,22.8,72,15,70,21,29.95,,,29.95,AA,T,29.96
2013,7,6,14843,1756,-4,FEW022 SCT032 BKN050,10,,79,26.1,74,23.1,71,21.7,77,7,110,,29.95,,,29.96,AA,T,29.96
2013,7,6,14843,1856,-4,BKN022 BKN040,9,#NAME?,78,25.6,75,23.6,73,22.8,85,14,70,,29.96,,,29.97,AA,T,29.97
2013,7,6,14843,1956,-4,BKN022 OVC060,10,#NAME?,79,26.1,76,24.1,74,23.3,85,3,110,,29.97,,,29.97,AA,0.04,29.98
2013,7,6,14843,2056,-4,FEW022 BKN040 OVC070,9,#NAME?,77,25,75,23.8,74,23.3,91,6,110,,29.97,,,29.98,AA,0.05,29.98
2013,7,6,14843,2156,-4,SCT025 BKN055 OVC080,4,#NAME?,78,25.6,75,24,74,23.3,88,6,120,,29.99,,,30,AA,0.05,30
2013,7,6,14843,2256,-4,SCT023 SCT090,10,,78,25.6,75,24,74,23.3,88,3,120,,29.99,,,29.99,AA,0.14,30
2013,7,6,14843,2356,-4,FEW022 SCT090,10,,78,25.6,75,24,74,23.3,88,0,0,,29.99,,,29.99,AA,,30
2013,7,7,14843,56,-4,FEW022,10,,78,25.6,75,24,74,23.3,88,0,0,,29.97,,,29.97,AA,,29.98
2013,7,7,14843,156,-4,FEW022 SCT047,10,,78,25.6,75,24,74,23.3,88,5,130,,29.94,,,29.95,AA,0.01,29.95
2013,7,7,14843,256,-4,FEW025 SCT070,10,,78,25.6,75,23.6,73,22.8,85,0,0,,29.94,,,29.94,AA,,29.95
2013,7,7,14843,356,-4,SCT026,10,,78,25.6,75,24,74,23.3,88,0,0,,29.93,,,29.93,AA,,29.94
2013,7,7,14843,456,-4,FEW030,10,,78,25.6,75,24,74,23.3,88,0,0,,29.93,,,29.94,AA,,29.94
2013,7,7,14843,556,-4,FEW060,10,,77,25,74,23.4,73,22.8,88,0,0,,29.94,,,29.95,AA,,29.95
2013,7,7,14843,656,-4,FEW030,10,,79,26.1,76,24.1,74,23.3,85,0,0,,29.96,,,29.97,AA,,29.97
2013,7,7,14843,756,-4,SCT032,10,,81,27.2,77,24.8,75,23.9,82,8,90,,29.98,,,29.98,AA,,29.99
2013,7,7,14843,856,-4,SCT035,10,,83,28.3,77,25.2,75,23.9,77,7,100,,29.99,,,30,AA,T,30
2013,7,7,14843,956,-4,SCT032 SCT070,10,,86,30,78,25.6,75,23.9,70,13,80,,30,,,30,AA,T,30.01
2013,7,7,14843,1056,-4,SCT032 SCT070,10,,88,31.1,79,25.9,75,23.9,65,17,80,22,29.99,,,30,AA,,30
2013,7,7,14843,1156,-4,SCT023 BKN085,10,#NAME?,85,29.4,78,25.5,75,23.9,72,17,70,,30,,,30,AA,T,30.01
2013,7,7,14843,1256,-4,SCT025 SCT045 BKN090,10,,83,28.3,79,25.9,77,25,82,14,80,,29.98,,,29.98,AA,0.11,29.99
2013,7,7,14843,1326,-4,SCT032CB BKN060,3,TSRA,82,28,78,25.8,77,25,85,13,80,,29.98,,,M,SP,,29.99
2013,7,7,14843,1356,-4,SCT027 SCT045 BKN075,10,#NAME?,82,27.8,79,26.1,78,25.6,88,8,60,,29.96,,,29.97,AA,0.09,29.97
2013,7,7,14843,1456,-4,SCT027 SCT045 BKN075,9,#NAME?,82,27.8,78,25.8,77,25,85,16,70,25,29.96,,,29.97,AA,0.02,29.97
2013,7,7,14843,1556,-4,FEW016 BKN034 OVC060,9,#NAME?,81,27.2,77,24.8,75,23.9,82,11,70,,29.96,,,29.96,AA,T,29.97
2013,7,7,14843,1656,-4,SCT016 SCT026 BKN050,10,,81,27.2,77,25.2,76,24.4,85,11,70,,29.95,,,29.96,AA,T,29.96
2013,7,7,14843,1756,-4,FEW016 SCT070,10,,81,27.2,77,24.8,75,23.9,82,14,90,,29.95,,,29.96,AA,,29.96
2013,7,7,14843,1856,-4,SCT018 SCT070,10,,81,27.2,77,25.2,76,24.4,85,14,80,,29.96,,,29.97,AA,,29.97
2013,7,7,14843,1956,-4,FEW016 BKN040 OVC070,9,#NAME?,80,26.7,77,24.7,75,23.9,85,10,90,,29.98,,,29.98,AA,T,29.99
2013,7,7,14843,2056,-4,FEW022 BKN055 BKN070,6,BR,80,26.7,78,25.4,77,25,91,11,80,,30,,,30,AA,0.09,30.01
2013,7,7,14843,2156,-4,BKN022 BKN060,9,#NAME?,79,26.1,76,24.5,75,23.9,88,10,90,20,30.01,,,30.01,AA,T,30.02
2013,7,7,14843,2256,-4,FEW014 SCT055 OVC090,10,,79,26.1,77,24.9,76,24.4,91,7,90,,30.03,,,30.03,AA,0.01,30.04
2013,7,7,14843,2356,-4,FEW025 SCT060,10,,79,26.1,76,24.5,75,23.9,88,5,110,,30.02,,,30.02,AA,,30.03
2013,7,8,14843,56,-4,FEW014 SCT022 SCT049,10,#NAME?,79,26.1,76,24.5,75,23.9,88,5,90,,30,,,30.01,AA,T,30.01
2013,7,8,14843,156,-4,FEW030 SCT047,10,,79,26.1,77,24.9,76,24.4,91,8,90,,29.99,,,29.99,AA,T,30
2013,7,8,14843,256,-4,FEW016 SCT022 SCT047,10,,79,26.1,77,24.9,76,24.4,91,0,0,,29.98,,,29.99,AA,,29.99
2013,7,8,14843,356,-4,FEW019 SCT047,10,,79,26.1,76,24.5,75,23.9,88,9,100,,29.98,,,29.99,AA,0.01,29.99
2013,7,8,14843,456,-4,FEW055,10,,79,26.1,76,24.5,75,23.9,88,9,90,,29.98,,,29.99,AA,,29.99
2013,7,8,14843,556,-4,FEW020 SCT070,10,,79,26.1,76,24.5,75,23.9,88,7,100,,30,,,30,AA,,30.01
2013,7,8,14843,656,-4,FEW020 SCT070,10,,80,26.7,77,24.7,75,23.9,85,11,90,,30.02,,,30.02,AA,,30.03
2013,7,8,14843,756,-4,FEW030 SCT080,10,,82,27.8,77,25,75,23.9,79,7,100,,30.04,,,30.04,AA,,30.05
2013,7,8,14843,856,-4,FEW020 SCT034 SCT080,10,,84,28.9,78,25.7,76,24.4,77,14,80,,30.04,,,30.05,AA,,30.05
2013,7,8,14843,956,-4,FEW022 SCT034 SCT090,10,,86,30,79,26,76,24.4,72,16,80,22,30.05,,,30.05,AA,,30.06
2013,7,8,14843,1056,-4,FEW022 SCT035 SCT044,10,,87,30.6,79,26.1,76,24.4,70,15,80,23,30.05,,,30.06,AA,,30.06
2013,7,8,14843,1156,-4,FEW024 SCT032 SCT050,10,,88,31.1,79,25.9,75,23.9,65,16,80,25,30.06,,,30.06,AA,,30.07
2013,7,8,14843,1256,-4,FEW028 SCT055 SCT090,10,,88,31.1,79,26.3,76,24.4,68,20,70,26,30.06,,,30.06,AA,,30.07
2013,7,8,14843,1301,-4,SCT034 SCT090,10,,88,31,79,25.9,75,24,65,17,70,26,30.06,,,M,SP,,30.07
2013,7,8,14843,1310,-4,SCT034 SCT090,10,,88,31,79,25.9,75,24,65,23,60,,30.06,,,M,SP,,30.07
2013,7,8,14843,1356,-4,FEW024 SCT036 SCT090,10,,88,31.1,79,26.3,76,24.4,68,18,80,24,30.05,,,30.06,AA,,30.06
2013,7,8,14843,1456,-4,FEW021 SCT028 SCT095,10,,87,30.6,78,25.8,75,23.9,68,22,70,25,30.03,,,30.03,AA,,30.04
